script,language,e1,t1,e2,t2,e3,t3,e4,t4,e5,t5,e6,t6,e7,t7,e8,t8,e9,t9,e10,t10,e11,t11,e12,t12,e13,t13,e14,t14,e15,t15,e16,t16,e17,t17,e18,t18,e19,t19,e20,t20,e21,t21,e22,t22,e23,t23,e24,t24,e25,t25,e26,t26,e27,t27,e28,t28,e29,t29,e30,t30
mergearrays.js,JavaScript,3.0764009303195,0.218934395,3.3731926604036,0.223825796,3.1935362726397,0.223301917,3.264902280807,0.22121927,3.224017852129,0.22256769,3.3022740134226,0.225226386,3.274985291511,0.22109271,3.2431837165512003,0.223839432,3.2933762960061,0.223545821,3.181350621661,0.22663421,3.2543908841037,0.221998957,3.2715300791804998,0.226360605,3.2937075163235,0.223040835,3.2645892531879,0.221696519,3.3125816357698,0.224757378,3.2917466035767,0.226030487,3.2834842971560003,0.22338116,3.2746845259424,0.221551264,3.2537783351583,0.222932863,3.2513366503350998,0.226655511,3.2617614059279,0.226007919,3.3417293665247003,0.226056767,3.2728029961167,0.224419887,3.1655618938569,0.220213609,3.2737859344157,0.222921277,3.2423787475346,0.225066706,3.1754539195988998,0.220378229,3.3026046198176,0.224722336,3.2737226564632,0.223017752,3.2344206547487997,0.221953568
mergearrays.py,Python,1.5016496815804001,0.104208444,1.4613187472354001,0.104712994,1.5099857531387,0.106745307,1.5507586998055,0.105566855,1.4707003679949,0.105655789,1.52126909167,0.1047887,1.491861874413,0.10388493,1.4909482326049,0.105277889,1.5011378887135,0.104988735,1.5105549247935,0.105877535,1.5306427452122,0.105743642,1.4814837237947,0.104461467,1.5595515755423999,0.107407264,1.4813183458246,0.104713606,1.4916089082128001,0.104270608,1.4413650137655,0.104642455,1.4510641662094,0.105101134,1.5213937179172001,0.104598692,1.4915832769526,0.104309686,1.5399430822524,0.106810364,1.4913682329227,0.104637547,1.4518722251709,0.103869149,1.471165905482,0.10494602,1.4816841143627,0.104155947,1.531262434285,0.10479885,1.5307723018597001,0.105546117,1.4811239593652001,0.105009972,1.5212580613997,0.104805517,1.4604818391683,0.105988963,1.4614792098909,0.104468349
mergearrays.rs,Rust,0.8113880386911,0.058868671,0.8114501911192,0.058773912,0.821403820301,0.05884461,0.8116424052378,0.058480858,0.7912618599286,0.059061046,0.8214119692026,0.058832186,0.8216326624992,0.058495712,0.821529129996,0.05865356,0.8116477586936,0.058472696,0.8113819506273,0.058877953,0.8013761996961,0.058886721,0.8312428309577999,0.059090058,0.7916475107634,0.058473074,0.8215925338812999,0.058556893,0.8319333814989,0.058037229,0.8411171572383,0.059281663,0.8214102336912,0.058834832,0.8216239632975,0.058508975,0.8013897066447999,0.058866128,0.8013246321822,0.058965342,0.8413105152465,0.058986865,0.8214235845357,0.058814477,0.8112778914364,0.059036604,0.8114728596791,0.058739351,0.791864918001,0.05814161,1.0307622241682,0.059822802,0.8512389880397,0.059095917,0.811438333759,0.05879199,0.8116994285279,0.058393919,0.8311854502022,0.059177542
mergearrays_gpt.js,JavaScript,3.3799495562945996,0.228770306,3.3977448304321,0.232131681,3.3894274795716,0.229566276,3.4175297916494,0.232459534,3.3248714689592997,0.236512473,3.3183154949153,0.231261633,3.2312815121016,0.226739576,3.3879771016755003,0.231777555,3.4472617961566,0.232868126,3.4170218922049,0.233233889,3.4435839936667,0.238475387,3.4759623920107,0.234849227,3.4085962168358,0.230833638,3.3746207065830998,0.236894791,3.4277586495892,0.232110612,3.3553699910014996,0.235752415,3.445423305833,0.23567113,3.4946058025674,0.236917514,3.348153581409,0.23150849,3.3169299501106,0.233374066,3.3992557964348,0.229828028,3.3544930441748,0.237089428,3.3783829129085996,0.231158846,3.3482390766622,0.231378142,3.3073997673452,0.232657772,3.4845632674524003,0.236982364,3.3265767833792,0.233912512,3.3079324899811,0.231845571,3.4176731674539997,0.23224094,3.4669717453704,0.233310344
mergearrays_gpt.py,Python,1.4917205548549,0.104100389,1.4809514570093,0.105272973,1.5108867268942001,0.105371662,1.5305282408138001,0.105918218,1.4813716836126,0.104632286,1.4915545741127,0.104353447,1.5011204004518,0.105015398,1.5013906640468,0.104603348,1.5211246342863,0.105008943,1.5301267755741002,0.106530301,1.4614277768365,0.104546765,1.5014629619361,0.104493121,1.5209118321226,0.105333386,1.4713740428849,0.104628689,1.4617999843449,0.103979289,1.4811230922654,0.105011294,1.4913057873073001,0.104732753,1.5402529458099001,0.106337939,1.4819741126769,0.103713809,1.4915693344863001,0.104330943,1.441647368877,0.10421197,1.5711997505778998,0.104894419,1.5002314552464,0.106370704,1.4717184645016,0.104103576,1.4608374471595,0.105446795,1.4811564296947,0.104960467,1.5012380439876,0.104836036,1.5107998850783,0.105504063,1.4413687281272,0.104636792,1.4908189107696002,0.105475056
mergearrays_gpt_opt.js,JavaScript,3.346825351114,0.23353354,3.4158210514637997,0.235064718,3.3388298687487,0.230477407,3.3181679764463,0.231486543,3.4560104563626997,0.234775947,3.3685164134828,0.230955308,3.2217332566676,0.226050836,3.3278342709238,0.231995318,3.4582407820022,0.231375542,3.3399027204433,0.228841713,3.5064543865361,0.234099121,3.3772816312284997,0.232837885,3.3964921998269997,0.23404147,3.3664072712714,0.234170954,3.504939920651,0.23640811,3.3269973464592,0.233271312,3.5139391595813,0.237933893,3.3205918509609003,0.227791049,3.3961437772203,0.234572683,3.5796708132244,0.229195284,3.3751847884539,0.236034779,3.3193769837983003,0.229643263,3.3957807510000997,0.235126161,3.4280666792503,0.231640983,3.3655201835748,0.235523428,3.3669593941175,0.233329175,3.4362227528275,0.234452275,3.4287071557618,0.230664498,3.4182662217396,0.231336756,3.3571695169297,0.233008817
mergearrays_llama.js,JavaScript,3.4637951514891,0.238153451,3.4131320975877997,0.239164358,3.3749377463425,0.236411425,3.4837712472136,0.238189896,3.3943969817167,0.237235887,3.5136094904674,0.238436514,3.4054411764844,0.235643884,3.3363083018645003,0.234321845,3.4721811344138,0.240614218,3.4836721800776003,0.238340936,3.3736813915372,0.238326892,3.3742645397651,0.237437811,3.4835307398339,0.238556579,3.4146718189024,0.236816864,3.5329635765449,0.239421289,3.4029985917664,0.239367904,3.3651980310749,0.236014589,3.4349777523070997,0.236350431,3.4051256315211003,0.236124971,3.5228663662618,0.239569498,3.4029334149834,0.239467274,3.4531922291879997,0.23907268,3.4956054322096,0.235393456,3.4450626979161,0.236220921,3.4167873672891,0.233591451,3.5022621282253,0.240490733,3.3664254534753,0.234143233,3.5028976684334,0.239521774,3.4143623003482997,0.237288763,3.4759173329924997,0.234917925
mergearrays_llama.py,Python,1.6061597848065,0.112578465,1.5553578375211998,0.113801132,1.5259270846045,0.112933245,1.5660121102333,0.112803613,1.5663721357109999,0.11225471,1.6365196935339998,0.11202974,1.605432932824,0.11368664,1.6554582269516,0.113648076,1.6454093243594,0.113722634,1.5764577168871,0.112124231,1.6260882385786,0.112687546,1.5464308466318002,0.112165198,1.6260526140259999,0.11274186,1.6547754291485,0.114689085,1.5560607019289,0.112729529,1.6055272971569998,0.11354277,1.5860418415244,0.112758284,1.6159497761208999,0.112898649,1.615588977993,0.11344873,1.6050516902931,0.114267891,1.5954463584410998,0.113666171,1.5859424261055,0.112909855,1.6543923481298999,0.115273139,1.6160301527304999,0.112776105,1.5659850727234998,0.112844835,1.605907443679,0.11296319,1.5759645627305,0.112876105,1.5366689134076001,0.111802236,1.6158808941587999,0.113003668,1.5760541389934999,0.112739535
mergearrays_llama_opt.js,JavaScript,3.3449335216906,0.236417866,3.4872880124796,0.232828156,3.3777693289529998,0.23209433,3.3576031212694,0.232347734,3.3170317949831003,0.233218791,3.2792212560849,0.229880689,3.3511092498051,0.227002211,3.2891775121462,0.229947382,3.3570992011702,0.233116022,3.3083294885418,0.231240298,3.4277798436859,0.232078299,3.3977220693902996,0.232166383,3.3688637650048,0.230425728,3.4467241864098,0.233687778,3.330615193786,0.22775546,3.3186006913856003,0.230826816,3.4391518015220996,0.229986581,3.4046389104317,0.236867037,3.4192337365500998,0.229861661,3.2621058787048,0.225482728,3.4175098247416,0.232489976,3.3989352587607,0.230316727,3.4082950052552,0.231292872,3.4156479633892,0.235328612,3.3293150674942,0.229737662,3.4149340050888997,0.236417129,3.3657148966724,0.235226564,3.3352581816962004,0.235922882,3.3675142546902,0.232483222,3.3764353490385997,0.234128146
mergearrays_llama_opt.py,Python,1.4715615469856,0.104342816,1.4913255062849,0.104702689,1.4912531546118,0.104812998,1.5114106119335,0.104572935,1.4911609481898,0.104953578,1.4604670525587,0.106011507,1.4814860883142,0.104457862,1.4417164443296,0.104106656,1.5402646549367,0.106320087,1.4703067066534001,0.106255974,1.5006606158636,0.105716396,1.5004345992826,0.106060986,1.461418991056,0.10456016,1.4814843921568,0.104460448,1.5111842247690002,0.10491809,1.5009198465647,0.105321167,1.5412479192180002,0.10482098,1.5012398116381,0.104833341,1.4610649998583,0.105099863,1.4411707302824,0.104938664,1.5110163137131,0.105174091,1.4711131009407001,0.105026527,1.4911081974323,0.105034003,1.4812478660901,0.104821061,1.7311002649777,0.105046097,1.5412807588192001,0.104770912,1.5203322828180001,0.10621698,1.520317728397,0.10623917,1.5012747081417002,0.104780137,1.5212691388948,0.104788628
