run_id,energy_joules,time_seconds
1,40.09,60.000947775
2,41.22,60.001596252
3,39.01,60.001468954
4,40.55,60.001459783
5,40.31,60.001171771
6,39.44,60.001523025
7,40.60,60.001422932
8,38.96,60.001559321
9,40.55,60.001151094
10,39.50,60.001754650
11,39.87,60.001535669
12,39.26,60.001225004
13,38.94,60.001400998
14,38.35,60.001469954
15,40.16,60.001608227
16,38.49,60.001680066
17,38.73,60.001453420
18,39.61,60.001012415
19,38.53,60.001574226
20,38.63,60.001277165
21,39.79,60.001022672
22,40.05,60.001542516
23,39.25,60.001377406
24,40.23,60.001470642
25,38.77,60.001609595
26,39.60,60.001441779
27,37.75,60.001245099
28,37.78,60.001493862
29,38.77,60.001485940
30,37.93,60.001918568
